id,lead_id,unit_value,unit_location,expected_value,actual_value,date_of_reservation,reservation_update_date,date_of_contraction,property_type_id,area_id,compound_id,sale_category,years_of_payment,property_type
4048,170080,4275000.0,New Capital City,4500000.0,4275000.0,2023-02-14 00:00:00,,2023-02-16 00:00:00,10,9.0,890.0,Primary,8.0,Retail
8714,302500,6480000.0,Ain Sokhna,6480000.0,,2023-09-14 00:00:00,2023-09-17 08:07:00,2023-10-09 00:00:00,5,4.0,1028.0,Primary,8.0,Chalet
9101,196602,5629000.0,North Coast,5629000.0,,2023-10-04 00:00:00,2023-10-09 13:34:00,2023-10-15 00:00:00,5,3.0,505.0,Primary,8.0,Chalet
6766,75265,19819443.0,New Cairo,19600000.0,19819443.0,2023-04-05 00:00:00,,2023-05-16 00:00:00,8,2.0,658.0,Developer Commercial Sale,6.0,Office
3831,158946,9460000.0,New Cairo,,9460000.0,2022-12-22 00:00:00,2022-12-22 00:00:00,2023-01-10 00:00:00,21,2.0,11.0,Primary,3.0,Apartment
11166,385762,3000842.0,6th of October City,3000000.0,,2024-01-13 00:00:00,2024-01-26 09:46:00,,21,1.0,653.0,Primary,,Apartment
9592,232436,6071227.0,New Capital City,6071227.0,,2023-10-26 00:00:00,,2023-11-08 00:00:00,21,9.0,1058.0,Primary,10.0,Apartment
7536,238874,2893000.0,North Coast,,2893000.0,2023-06-20 00:00:00,2023-06-20 00:00:00,2023-07-11 00:00:00,21,3.0,493.0,Primary,3.0,Apartment
11164,385762,,6th of October City,3000000.0,,,,,21,1.0,653.0,,,Apartment
7895,39830,3360000.0,North Coast,,3360000.0,2023-07-27 00:00:00,,2023-07-27 00:00:00,5,3.0,692.0,Primary,7.0,Chalet
11165,385762,,6th of October City,3000000.0,,,,,21,1.0,653.0,,,Apartment
9928,102039,48642500.0,New Cairo,48000000.0,,2023-11-20 00:00:00,2023-11-21 10:09:00,2023-12-12 00:00:00,1,2.0,974.0,Primary,7.0,Villa
6617,192384,5566000.0,North Coast,,5566000.0,2023-04-05 00:00:00,,2023-04-05 00:00:00,5,3.0,305.0,Primary,8.0,Chalet
10935,374899,6712035.0,New Capital City,,6712035.0,2023-12-21 00:00:00,,2023-12-21 00:00:00,21,9.0,252.0,Primary,3.0,Apartment
7627,247513,11739363.0,Mostakbal City,,11739363.0,2023-07-04 00:00:00,,2023-07-04 00:00:00,4,10.0,196.0,Primary,6.0,Penthouse
3940,148941,3250000.0,New Capital City,,3250000.0,2023-01-03 00:00:00,2023-01-04 00:00:00,2023-01-03 00:00:00,21,9.0,408.0,Primary,7.0,Apartment
8925,76,6465562.0,North Coast,,6465562.0,2023-08-22 00:00:00,,2023-09-24 00:00:00,5,3.0,929.0,Primary,9.0,Chalet
2438,94213,3806712.0,New Cairo,,,2022-06-07 00:00:00,,2022-06-07 00:00:00,8,2.0,329.0,Developer Commercial Sale,0.0,Office
2439,94213,4974938.0,New Cairo,,,2022-06-07 00:00:00,,2022-06-07 00:00:00,8,2.0,344.0,Developer Commercial Sale,0.0,Office
7704,252112,3640000.0,North Coast,3640000.0,3640000.0,2023-07-13 00:00:00,,2023-07-31 00:00:00,5,3.0,522.0,Primary,8.0,Chalet
10360,357664,4423192.0,New Cairo,,4472893.0,2023-11-29 00:00:00,2023-11-29 13:59:00,2023-12-06 00:00:00,21,2.0,147.0,Primary,8.0,Apartment
8190,123895,4010000.0,North Coast,,4010000.0,2023-08-13 00:00:00,,2023-08-13 00:00:00,5,3.0,522.0,Primary,8.0,Chalet
9578,219919,9958944.0,Mostakbal City,9500000.0,,2023-10-29 00:00:00,2023-10-29 13:32:00,2023-11-27 00:00:00,21,10.0,1104.0,Primary,8.0,Apartment
8098,51,5570000.0,North Coast,,5570000.0,2023-08-09 00:00:00,,2023-08-10 00:00:00,5,3.0,522.0,Primary,8.0,Chalet
8952,281170,14527000.0,North Coast,14526000.0,14527000.0,2023-09-25 00:00:00,,2023-10-03 00:00:00,4,3.0,510.0,Primary,6.0,Penthouse
11168,264821,2515012.5,North Coast,,5030025.0,2023-12-24 00:00:00,2023-12-25 16:48:00,2024-01-08 00:00:00,5,3.0,165.0,Primary,8.0,Chalet
911,40591,4438570.0,New Capital City,,,2021-08-02 00:00:00,,2021-08-05 00:00:00,8,9.0,456.0,Primary,,Office
